;state;income;professional;unemployment
321;Alabama;44886.0;23.6;9.7
322;Alabama;48208.0;19.4;3.5
323;Alabama;35745.0;23.3;7.7
324;Alabama;21466.0;8.4;2.5
325;Alabama;41875.0;22.5;11.3
326;Alabama;43261.0;26.6;4.8
327;Alabama;45982.0;39.6;5.9
328;Alabama;31349.0;32.2;13.3
329;Alabama;32656.0;18.6;8.7
330;Alabama;41838.0;25.2;8.1
331;Alabama;37091.0;24.2;5.9
332;Alabama;41409.0;23.3;5.1
333;Alabama;50244.0;21.0;9.5
334;Alabama;39276.0;31.0;5.1
335;Alabama;35000.0;18.9;11.0
336;Alabama;39244.0;18.9;5.7
337;Alabama;38618.0;17.7;12.3
338;Alabama;36488.0;31.0;11.7
339;Alabama;30017.0;23.4;12.0
340;Alabama;60852.0;14.5;4.1
341;Alabama;36551.0;20.5;9.2
342;Alabama;43304.0;27.9;9.0
343;Alabama;44570.0;17.4;11.4
344;Alabama;37197.0;29.3;5.5
345;Alabama;22193.0;13.8;19.9
346;Alabama;22023.0;20.7;14.5
347;Alabama;17284.0;30.5;11.5
348;Alabama;48647.0;24.6;16.8
349;Alabama;35075.0;30.3;8.8
350;Alabama;51838.0;27.3;2.3
351;Alabama;42143.0;32.9;5.8
352;Alabama;25104.0;27.1;13.9
353;Alabama;28606.0;27.8;10.7
354;Alabama;40560.0;32.2;13.7
355;Alabama;41612.0;23.7;5.8
356;Alabama;40149.0;18.0;5.0
357;Alabama;39375.0;36.2;6.3
358;Alabama;54527.0;40.2;5.6
359;Alabama;46397.0;36.1;6.8
360;Alabama;55151.0;34.9;5.7
361;Alabama;65298.0;45.6;4.8
362;Alabama;74051.0;50.7;5.3
363;Alabama;37571.0;28.7;9.8
364;Alabama;36731.0;26.2;8.0
365;Alabama;53500.0;42.4;6.5
366;Alabama;45958.0;38.2;5.5
367;Alabama;14349.0;13.2;22.6
368;Alabama;38333.0;19.3;12.5
369;Alabama;46646.0;32.4;6.4
370;Alabama;51968.0;29.1;6.9
371;Alabama;27634.0;16.7;9.5
372;Alabama;37475.0;23.9;5.3
373;Alabama;16234.0;17.6;16.4
374;Alabama;24160.0;19.3;17.6
375;Alabama;29523.0;22.9;14.0
376;Alabama;38125.0;25.8;7.0
377;Alabama;32845.0;24.9;0.7
378;Alabama;39208.0;26.1;15.4
379;Alabama;41935.0;27.6;5.2
380;Alabama;42167.0;22.5;7.5
381;Alabama;46574.0;25.5;6.1
382;Alabama;38866.0;22.2;2.8
383;Alabama;33177.0;29.1;6.0
384;Alabama;34616.0;26.7;10.3
385;Alabama;38640.0;29.1;14.2
386;Alabama;37679.0;21.4;12.7
387;Alabama;39107.0;13.9;4.0
388;Alabama;40651.0;25.9;3.3
389;Alabama;38125.0;35.1;7.3
390;Alabama;49133.0;37.6;9.8
391;Alabama;33986.0;20.0;8.4
392;Alabama;41012.0;30.7;10.9
